frameIndex;frameTime;pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13];pcm_fftMag_mfcc[14];pcm_fftMag_mfcc[15];pcm_fftMag_mfcc[16]
260;2.605896;1.030817e+001;7.995675e+000;8.490161e+000;2.065354e+000;6.373131e+000;-5.502586e+000;3.202100e-001;-2.062966e-001;-7.958370e+000;-7.224788e+000;-1.047676e+001;-1.142979e+001;-1.284888e+001;-1.175483e+001;-1.113423e+001;-6.470084e+000
261;2.615918;1.290844e+001;8.202384e+000;6.284215e+000;7.524362e+000;-1.638499e+000;-2.959749e-001;3.505603e+000;-7.685087e+000;-4.035223e+000;-8.916901e+000;-7.592004e+000;-5.927301e+000;-7.735354e+000;-1.033510e+001;-8.025480e+000;-6.013754e+000
262;2.625941;5.190920e+000;1.017456e+001;1.145025e+001;8.094893e+000;-2.645623e+000;2.334293e+000;-2.661214e+000;-4.990662e+000;-3.767472e+000;-1.012429e+001;-5.794461e+000;-5.191891e+000;-1.088952e+000;-3.334426e+000;-1.067203e+001;-8.180557e+000
263;2.635964;4.659538e+000;7.190835e+000;1.257132e+001;-1.396801e+000;-4.062910e-001;-3.422574e+000;-2.480242e+000;-7.825027e+000;5.775381e-001;-7.774709e+000;-1.326321e+001;-5.811587e+000;-1.345509e+001;-8.155746e+000;-6.440388e+000;-1.954981e+000
264;2.645986;4.089367e+000;6.224040e+000;1.179794e+001;8.513028e+000;4.147031e+000;-8.106668e+000;-1.188353e+001;5.820527e+000;-7.348810e-001;-8.371538e+000;-4.648181e+000;-3.039694e+000;-1.154025e+001;-9.228712e+000;-1.459316e+000;-3.660269e+000
265;2.656009;4.529522e+000;7.526440e+000;8.139851e+000;1.017351e+001;-3.072641e+000;-3.459117e+000;-5.682889e+000;-8.922218e+000;-2.308840e+000;-3.945699e+000;-1.951126e+000;-1.089285e+001;-1.710744e+001;-1.187357e+001;-6.694872e+000;-4.178566e+000
266;2.666032;3.902921e+000;5.391663e+000;1.191933e+001;1.338896e+001;3.979915e+000;-9.840194e+000;-2.753909e-001;-7.432008e+000;-1.007677e+001;-9.389734e-001;5.963547e-001;-7.535532e+000;-1.244888e+001;-6.547084e+000;-7.579790e+000;-6.271656e+000
267;2.676054;7.713853e+000;8.267558e+000;1.160178e+001;9.983313e+000;4.298609e+000;-7.271605e+000;6.927420e-001;-3.778350e+000;-2.016719e+000;-1.606065e+000;9.908852e+000;5.748886e+000;-4.006551e+000;3.931933e+000;9.688689e-001;-2.925866e+000
268;2.686077;7.000027e+000;8.177488e+000;1.373811e+001;1.121497e+001;1.817562e+000;-4.197237e+000;-1.002093e+000;-7.570443e+000;5.505974e+000;-7.655108e+000;-5.886831e+000;-1.066337e+000;3.193619e+000;8.018490e+000;-5.644470e+000;-8.172244e+000
269;2.696100;1.072391e+001;1.450807e+001;5.385217e+000;8.310154e+000;7.961803e+000;-4.563025e+000;-9.339439e-001;-1.337775e+001;-1.261185e+001;-4.938800e+000;-1.297851e+000;1.084646e+001;9.772855e+000;4.123800e+000;-8.144334e+000;-4.449056e+000
270;2.706122;8.355857e+000;7.217996e+000;1.016049e+001;1.175970e+001;3.952773e+000;-6.271060e+000;1.592213e+000;-9.852061e+000;-1.074212e+001;4.399487e+000;-5.335315e-001;5.794425e+000;1.473712e+000;7.269729e+000;1.885318e+000;-5.593339e-001
271;2.716145;6.435042e+000;1.055390e+001;6.599885e+000;8.962782e+000;9.777907e+000;-2.997491e+000;8.746511e+000;-2.072719e+000;3.656682e+000;-1.782571e+000;2.455294e+000;1.004602e+000;2.146368e+000;1.049782e+001;-6.554866e-001;-1.982189e+000
272;2.726168;8.716483e+000;4.881574e+000;1.690178e+001;1.145960e+001;1.454490e+001;3.890791e+000;4.550610e+000;5.139956e+000;-1.216948e+000;1.021834e+001;4.671635e+000;-1.983019e+000;-1.306565e+000;5.302456e+000;6.284390e-001;-1.435126e+000
273;2.736190;7.582756e+000;9.222885e+000;5.830341e+000;9.338504e+000;1.874443e+001;-7.939337e-001;1.240737e+001;7.107078e+000;-8.955501e+000;1.089161e+001;-4.630642e+000;3.888723e-001;-8.351046e+000;4.058884e-001;-3.204547e+000;-5.216604e+000
274;2.746213;3.389862e+000;8.286183e+000;3.867876e+000;2.294899e+000;1.605789e+001;5.526542e+000;1.502778e+001;1.338362e+001;-4.466980e+000;-4.286314e+000;-3.184618e-001;5.936084e-001;7.875720e+000;-9.752869e-002;1.210049e+000;-6.282124e+000
275;2.756236;-2.996381e+000;-1.006230e+000;-5.775323e+000;1.038580e+001;1.667819e+001;2.456830e+000;-6.381536e-002;2.251716e+001;2.493728e+001;2.141092e+001;-7.210507e+000;-1.000533e+000;1.536570e+001;6.137408e+000;4.606910e+000;-8.311419e+000
276;2.766259;-2.734347e+000;-2.997455e+000;-1.196609e+001;9.294187e+000;5.745451e+000;3.857786e-001;-1.280416e+001;-5.328678e+000;1.264550e+001;5.972347e+000;-2.000104e+000;-6.950418e+000;9.902613e+000;4.934782e+000;1.761856e+000;-4.330646e+000
277;2.776281;-4.133950e+000;-2.785337e+000;-1.020374e+001;5.703027e+000;2.230494e+000;-2.846254e+000;-1.612054e+001;-8.370150e+000;4.380017e+000;-5.496559e-001;5.224259e+000;-9.309557e+000;7.402206e+000;1.205003e+001;2.683065e+000;-1.863692e+000
